pmid,ref_list
14058267,"['14461382', '13035721']"
4550818,"['5337773', '5327904', '13987374', '4912521', '4907880', '4895215', '4930242']"
14222809,"['13398436', '14066417', '14381435']"
4164675,"['13761024', '13912024', '14461382']"
6211173,"['212021', '5495157', '14208516', '5495156', '17116', '4153028', '154888', '4271644', '5679365', '6451217']"
4180008,"['4961416', '4966827', '13376638', '14342506']"
109833,"['204932', '331320', '5131013', '4824289', '328516', '4558009', '10605441', '187622']"
5812469,"['13913207', '14206423', '13981351']"
2959277,"['6952258', '3566711', '6747902', '14225256', '7001464', '6087800', '3499139', '4091808', '6572915', '6943544', '3026311', '2948490']"
6646125,"['4747985', '424306', '5288383', '6180296', '1093178', '6287217', '6933549']"
6284798,"['51031', '566280', '299747', '4400052', '6966402', '5002629', '181401', '7229034', '7076844', '6987652', '4530317', '6273845', '1081991']"
224077,"['14069792', '4357461', '5126640', '4550608', '19866698', '4942408', '920777', '192082', '221905']"
8385607,"['228058', '200917', '1156392', '2644235', '6289804', '2025221', '3028370', '2829835', '209453', '2996486', '192195']"
1840696,"['266704', '2557001', '3753440', '7115317', '4636395', '6373250', '2025222', '3460518', '6656760', '3034602', '6293467', '2000403']"
4146462,"['5579645', '5316144']"
1060106,"['5237898', '5541530', '4153616', '4924969', '1092658', '1089631', '4942914', '4897112', '4565531', '1090576', '4912521', '4275652', '5764338', '4570769', '4994599', '4894690', '1092668']"
322503,"['5579661', '5129269', '5352046', '4267065', '4566524', '4333358']"
19869937,"['19869083', '19869059']"
6572915,"['7431249', '6952258', '4783095', '5316143', '5840799', '942401', '942402', '14228505', '6247487', '16742812', '6943544']"
1599435,"['6332622', '659615', '1318023', '3486656', '25652', '6093775', '3883990', '2848495', '2339124', '4084229', '3479980', '444224', '2820378', '2310372', '1898359']"
5001205,"['5968972', '5551637', '5656397', '14342506', '4099097', '4923077']"
8615825,"['7115317', '6646125', '6274318', '8192668', '8198555', '11783', '949336', '8503862', '1016244', '1327760', '597231', '7753822', '1323838']"
4150811,"['5679365', '14342506', '14436835', '4587250', '4200725', '4923074', '4271644']"
4993325,"['14342506', '4884824', '4889268', '5679365', '4923074']"
4504372,['5126913']
13109153,['14898034']
1091627,"['4919746', '4939760', '4559593', '4360543', '4580559', '4591955', '4604726', '4559599', '4902384', '4612002', '4574689', '4928006', '4590465', '4591481', '4942914']"
