,feature,fscore,,
0,MOSTYPE,911,0.0617962285,1
1,PBRAND,775,0.0525708859,2
2,PWAPART,484,0.0328313662,3
3,MKOOPKLA,461,0.0312711979,4
4,PPERSAUT,450,0.0305250305,5
5,MBERMIDD,420,0.0284900285,6
6,MHHUUR,388,0.0263193597,7
7,MOPLLAAG,377,0.0255731922,8
8,MINK3045,365,0.0247591914,9
9,MGODGE,361,0.0244878578,10
10,MSKC,353,0.0239451906,11
11,MOPLMIDD,338,0.0229276896,12
12,MFGEKIND,335,0.0227241894,13
13,MSKB1,335,0.0227241894,14
14,MBERARBO,332,0.0225206892,15
15,MINKM30,325,0.0220458554,16
16,MBERARBG,325,0.0220458554,17
17,MINK4575,312,0.0211640212,18
18,MFWEKIND,308,0.0208926876,19
19,MRELGE,299,0.0202821869,20
20,MFALLEEN,296,0.0200786867,21
21,MAUT2,284,0.0192646859,22
22,MGODPR,283,0.0191968525,23
23,MBERHOOG,282,0.0191290191,24
24,MSKB2,276,0.0187220187,25
25,MINKGEM,268,0.0181793515,26
26,MOPLHOOG,259,0.0175688509,27
27,MAUT1,254,0.0172296839,28
28,MZFONDS,250,0.0169583503,29
29,MINK7512,247,0.0167548501,30
30,MAUT0,240,0.0162800163,31
31,MSKA,235,0.0159408493,32
32,ABRAND,231,0.0156695157,33
33,MGODRK,215,0.0145841813,34
34,MGEMLEEF,197,0.01336318,35
35,MRELOV,195,0.0132275132,36
36,MGODOV,192,0.013024013,37
37,MSKD,191,0.0129561796,38
38,ALEVEN,189,0.0128205128,39
39,MBERZELF,164,0.0111246778,40
40,MRELSA,149,0.0101071768,41
41,MHKOOP,146,0.0099036766,42
42,PLEVEN,144,0.0097680098,43
43,MBERBOER,133,0.0090218424,44
44,PBYSTAND,120,0.0081400081,45
45,PPLEZIER,115,0.0078008411,46
46,MZPART,112,0.0075973409,47
47,PMOTSCO,110,0.0074616741,48
48,MGEMOMV,106,0.0071903405,49
49,MINK123M,94,0.0063763397,50
50,PGEZONG,91,0.0061728395,51
51,PBROM,86,0.0058336725,52
52,PFIETS,48,0.0032560033,53
53,AMOTSCO,47,0.0031881699,54
54,PBESAUT,44,0.0029846697,55
55,MAANTHUI,43,0.0029168363,56
56,PWAOREG,43,0.0029168363,57
57,AWABEDR,27,0.0018315018,58
58,PWABEDR,26,0.0017636684,59
59,PWALAND,20,0.001356668,60
60,PAANHANG,20,0.001356668,61
61,PTRACTOR,10,0.000678334,62
62,PINBOED,3,0.0002035002,63
63,AINBOED,3,0.0002035002,64
,,14742,1,65
